idCella,polygon
1,"[[[13.103555035990622, 41.312507725151384], [13.102248523740318, 41.357521553629134], [13.042506760497481, 41.35652054603118], [13.043854339144888, 41.311508291638646], [13.103555035990622, 41.312507725151384]]]"
2,"[[[13.253519195767046, 42.39565302619368], [13.252269378123795, 42.44066209552873], [13.191504293585968, 42.439719215810115], [13.192742367298285, 42.396632796906616], [13.192797508173147, 42.39471162279635], [13.19611916030695, 42.394763952562805], [13.253519195767046, 42.39565302619368]]]"
3,"[[[11.797215130578035, 42.364198665434024], [11.794926509473632, 42.4091584314391], [11.7342599416889, 42.40744445999161], [11.736591696627789, 42.362487374951925], [11.797215130578035, 42.364198665434024]]]"
4,"[[[13.035894326285323, 43.51772693874924], [13.034432615665784, 43.562721604534396], [12.97255943822712, 43.56164070887583], [12.974067085768333, 43.51664773022854], [13.035894326285323, 43.51772693874924]]]"
5,"[[[12.302223301870981, 43.32268450108678], [12.300229555071562, 43.36765719811619], [12.238587870730461, 43.36618438542112], [12.240626999808823, 43.32121398698783], [12.302223301870981, 43.32268450108678]]]"
6,"[[[13.041707489024946, 43.337744329888494], [13.040259231795757, 43.3827405736716], [12.978569167397032, 43.3816664117166], [12.980062939415056, 43.33667184519803], [13.041707489024946, 43.337744329888494]]]"
7,"[[[13.70491436127574, 43.34717931427626], [13.704697527813048, 43.34767149919223], [13.704356598231174, 43.34820900066052], [13.704324029315606, 43.34833557393226], [13.704265038742363, 43.34849456441527], [13.704200041601936, 43.34865656450564], [13.704102036823938, 43.34881557292846], [13.704116039393515, 43.34897256489188], [13.703647036942215, 43.34998055858518], [13.70272900598153, 43.35159281721461], [13.702651289198082, 43.35183632301493], [13.702554549990614, 43.352060876577085], [13.702387917660767, 43.35225905097533], [13.702311772796476, 43.35237234645898], [13.702285027839016, 43.35297358077284], [13.702007041175928, 43.353227565214766], [13.701577046066996, 43.35405757298629], [13.70153702491562, 43.35420757208545], [13.70136254816344, 43.354431754168075], [13.701267530833013, 43.354720191546775], [13.701188934051086, 43.35498000668003], [13.701076565651572, 43.35528172637443], [13.700973666692267, 43.35550653174362], [13.700819691535525, 43.35586848161177], [13.700735636282529, 43.35613752329433], [13.700575457391453, 43.35645921751075], [13.700451182180068, 43.356806439958255], [13.70035066040831, 43.35702214306749], [13.70024497910766, 43.3572110516026], [13.700120403919465, 43.35759429679234], [13.700082713107813, 43.35778490725571], [13.70001769634639, 43.35798114275021], [13.699947367085027, 43.35814395204469], [13.699943378577704, 43.358162160395366], [13.6999140939074, 43.35847605807886], [13.699910675551422, 43.35854326938301], [13.699959034465387, 43.35875957239231], [13.700205051426366, 43.35898905896328], [13.70022755369345, 43.358994529174616], [13.700331038539007, 43.3589875726112], [13.700400039225931, 43.358864571706846], [13.700483040245372, 43.35887557197015], [13.700445046944951, 43.35894756879053], [13.700243049694278, 43.35958256747197], [13.700182042595122, 43.359561567343825], [13.70019902511105, 43.359419584725735], [13.700026031629328, 43.35939956535102], [13.699832027888823, 43.35947756809644], [13.699682446708156, 43.35962061729056], [13.699672525069094, 43.359639323635854], [13.69969072528598, 43.35996697867072], [13.69995058533073, 43.36010404457474], [13.699909471938263, 43.36029029388299], [13.699620213580282, 43.360259444270156], [13.699377247958838, 43.36050802136551], [13.69924033502614, 43.361011059828165], [13.698905738082072, 43.361351187408374], [13.698877954136979, 43.36182947492382], [13.698584594076008, 43.36194508541895], [13.698377574527218, 43.36225970142984], [13.69777534472649, 43.36324778573253], [13.697351253237857, 43.36362760271708], [13.697205947061793, 43.36442132212047], [13.697545503502552, 43.36478320691178], [13.697028658025923, 43.36504080318848], [13.696840243757537, 43.365356901441416], [13.696764045992426, 43.36564812421756], [13.696664081958131, 43.366070864990036], [13.696085543523001, 43.36676762825499], [13.695812021360457, 43.36722001778237], [13.695672232932925, 43.36748684735636], [13.695578427552068, 43.367630248899346], [13.695556175567635, 43.3677414484885], [13.695554108972747, 43.36787432314981], [13.695520136307689, 43.3681930667629], [13.695310052805004, 43.36854831643224], [13.695161805460716, 43.36874572324968], [13.695026632194088, 43.36887282166941], [13.694980248026573, 43.36895125254868], [13.69493113702785, 43.36903429854214], [13.694811411871479, 43.36930878995797], [13.694716042328814, 43.369700582740315], [13.69433905011663, 43.37068556450839], [13.694033045449729, 43.371139569412165], [13.694019818961497, 43.37115071253208], [13.693835014539072, 43.3715371302727], [13.693726329053371, 43.37212677777306], [13.693663014320407, 43.37234544674541], [13.693602336147961, 43.372478481868185], [13.693528962418243, 43.372567025408834], [13.693452604418317, 43.3727367163548], [13.693358973187046, 43.37304215866237], [13.693184891436724, 43.37322487046018], [13.692961437176539, 43.37356716116272], [13.692902708404269, 43.37376538454199], [13.692886088343469, 43.37402939787495], [13.69281012023258, 43.37424408579999], [13.6926392461412, 43.374548202285624], [13.692453677029093, 43.37470212789914], [13.692147902397194, 43.37493751855682], [13.692071755695554, 43.37500913632137], [13.691914998218163, 43.37535741205026], [13.691932418121203, 43.37554280850388], [13.69184682634964, 43.375712877988505], [13.691746420193489, 43.37593082067524], [13.691619804183107, 43.37608907242116], [13.691501596645919, 43.37643603544733], [13.69124364547162, 43.3769710487925], [13.691174249662799, 43.377111192522534], [13.691102902499832, 43.377161622365456], [13.690997765290012, 43.37739519306943], [13.690986510016756, 43.37747676796028], [13.690858377042, 43.377815135405925], [13.690768796487445, 43.37809340061023], [13.690625976509432, 43.37844137472551], [13.69058270091732, 43.3785601886897], [13.690438274488217, 43.37884746019528], [13.690364199372691, 43.37908682640626], [13.690305502721998, 43.37932556010753], [13.690164927895825, 43.37954290160765], [13.690034488778796, 43.37981159201067], [13.689934071516435, 43.38002953281077], [13.689806618590808, 43.38021707569841], [13.689722488332833, 43.38032631507701], [13.689635889629706, 43.380523432894684], [13.689537115605848, 43.38068279002382], [13.689479972185671, 43.38078191685226], [13.689437517440847, 43.38087143867795], [13.689366381503657, 43.38098914493025], [13.689281425625575, 43.38112767736488], [13.689029024749011, 43.38145539487363], [13.688944804576428, 43.381643411684585], [13.688731696314806, 43.38196051086085], [13.688598097376317, 43.382175543264346], [13.68834902466937, 43.38271358403547], [13.688021568384261, 43.383426430328875], [13.687970863420903, 43.38357624726132], [13.687553019325522, 43.38455895339128], [13.687179314265096, 43.385434063830814], [13.68693753984097, 43.38597965499338], [13.68680625068815, 43.3862776353581], [13.686720417342674, 43.386404947966035], [13.686527554751043, 43.38682474287765], [13.68618411583369, 43.387489009538314], [13.685974384974777, 43.38795895018195], [13.685668718793345, 43.388811350069304], [13.685290634084923, 43.38963036660387], [13.685082620340795, 43.39029385357693], [13.685027310108254, 43.3906967450559], [13.684764430162398, 43.39097304423298], [13.684592325727658, 43.39144162115754], [13.684472912556295, 43.391950625669175], [13.684366030632154, 43.39240514940515], [13.68447332528989, 43.39303543466977], [13.6848222972977, 43.39347799512002], [13.684599247612557, 43.393827004442], [13.68446431977605, 43.394437976281786], [13.684001153907682, 43.394835103245974], [13.683898126352785, 43.3952196953325], [13.683867125443442, 43.39549780187983], [13.683151622069282, 43.39638467793762], [13.68271166290785, 43.39676284163636], [13.68243701580598, 43.39716347897065], [13.682285248614244, 43.397347798173065], [13.681590039047565, 43.39906758720318], [13.680177042017169, 43.402875572092796], [13.679909033142874, 43.40359659453854], [13.67934603883174, 43.40469058088936], [13.679085025842472, 43.405101570720966], [13.678233033276307, 43.407022587152376], [13.67812151614603, 43.40730758461588], [13.657326738849346, 43.3916522869831], [13.658319390765268, 43.34664212561704], [13.704775664082076, 43.34717774343219], [13.70491436127574, 43.34717931427626]]]"
8,"[[[13.964423607902408, 42.764505387782215], [13.963974736134762, 42.76529554584656], [13.96383384199256, 42.76544346077913], [13.96203186272309, 42.768157303226374], [13.96099065922522, 42.769881539439936], [13.960423745003851, 42.771310586500796], [13.959711857170337, 42.772264279061254], [13.959329457925955, 42.77313614247391], [13.959148453642902, 42.77350861300315], [13.9575773300592, 42.77670751484861], [13.957523615633443, 42.77683813527467], [13.957393978242452, 42.77708908697063], [13.956028203546104, 42.78020222302077], [13.956005598708517, 42.78026847798566], [13.955944684263619, 42.78051450173676], [13.95584011273204, 42.780811628772504], [13.95567948646458, 42.78117195530665], [13.955474791574838, 42.78147792515314], [13.955344591831128, 42.78164562312475], [13.955299738195434, 42.78164541473327], [13.955229533651407, 42.781746292041475], [13.955485663668913, 42.782145052628536], [13.954869599412538, 42.782367578321036], [13.954712407456672, 42.78264309205836], [13.954301756896324, 42.78343063874528], [13.953591273010199, 42.78455753623013], [13.953160008725225, 42.78554628400849], [13.952767583639872, 42.78617998706885], [13.9525891920161, 42.78650957068752], [13.952500533523738, 42.78666195888543], [13.952393428356228, 42.78692768384975], [13.951645262455461, 42.78823400654534], [13.95149819442049, 42.78849485574745], [13.94891431358576, 42.79381215372481], [13.947989087073868, 42.795907487397976], [13.947684338864438, 42.796492361686404], [13.947472212862852, 42.796821148451464], [13.947184656311485, 42.79739177356804], [13.946789052381348, 42.79829342644354], [13.946286290151376, 42.799460798620345], [13.945923633329334, 42.80013851431092], [13.943282403758454, 42.806489195950526], [13.943238701071389, 42.80673191164809], [13.943021488337271, 42.807265722387285], [13.942633098544635, 42.80806623083476], [13.942580884545123, 42.80821575218441], [13.942318575617207, 42.80899090680309], [13.942195247340283, 42.80932004034361], [13.940471305564119, 42.81425610711833], [13.938807730860457, 42.819018468304684], [13.938782153491495, 42.81911216956886], [13.938754538413505, 42.819170733242025], [13.937800920504014, 42.82190031588687], [13.937708724629635, 42.822212761319534], [13.93751936644411, 42.822866895396416], [13.937109122489007, 42.824044418776076], [13.936639092329399, 42.82570500109531], [13.914612388959382, 42.80907059249522], [13.915398694426438, 42.76405154317294], [13.964244445228669, 42.764503767415626], [13.964423607902408, 42.764505387782215]]]"
9,"[[[13.242167012466231, 42.80072079202958], [13.240891121710005, 42.845726394817866], [13.179730959901269, 42.84477013332923], [13.181051151794748, 42.799766025915055], [13.242167012466231, 42.80072079202958]]]"
10,"[[[12.508998974336762, 42.787113205297985], [12.507192072136414, 42.832097499938264], [12.44607507810431, 42.83074978481421], [12.447926164837163, 42.78576759675913], [12.508998974336762, 42.787113205297985]]]"
